Cause_Name,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017
Deliberate,217,371,216,321,228,248,223,304,267,260,49,57,36,51,36,37,37,37,37,50
Escape P&W burning,6,9,11,11,10,2,5,8,4,6,1,1,2,2,2,0,1,1,1,1
Escape other burning,26,31,35,36,34,24,23,51,26,33,6,5,6,6,5,4,4,6,4,6
Accidental industry,23,30,39,37,36,50,32,42,39,31,6,5,6,6,6,7,5,5,6,6
Accidental recreation,21,35,32,54,39,58,97,78,37,47,5,5,5,9,6,9,16,9,5,9
Lightning,82,76,166,72,193,193,141,200,233,89,18,12,27,11,31,28,23,24,32,17
Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powerline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,51,57,27,63,55,77,61,120,91,48,11,9,5,10,9,11,10,15,13,9
Other (specify),18,39,77,35,30,24,25,22,23,12,4,6,13,5,5,4,4,3,3,2
Total,444,648,603,629,625,676,607,825,720,526,100,100,100,100,100,100,100,100,100,100

